Author,Review,Rating,Restaurant,Location
ken kheu,Had a great breakfast here. The service was excellent and the staff is super friendly.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
jian hang,"Nice food and good service, highly recommended!","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
ross mackay,Good Coffee in a Fast Paced EnvironmentIf you are after a quiet coffee and some breakfast better get here very early or …MoreGood Coffee in a Fast Paced EnvironmentIf you are after a quiet coffee and some breakfast better get here very early or listen to music.In can get very busy.Good selection of food and portion sizes are large by Asian standards.You'll need to season much of the food which allows you to do it to your taste.Early morning mid afternoons are the times to try for a quieter more relaxed time.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Andrew Mackenzie,"Have been here three times over a year and unfortunately every time we have been disappointed. Way overpriced for the quality of food/ingredients. Bland taste. Today the water smelt and tasted of dirt (not exaggerating). …MoreHave been here three times over a year and unfortunately every time we have been disappointed. Way overpriced for the quality of food/ingredients. Bland taste. Today the water smelt and tasted of dirt (not exaggerating).If you want to price it as being organic/high quality, maybe supply organic ingredients. As a kiwi run cafe this is sad to say coming from a kiwi.","Rated 1.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Foo Meh-e,"Going out from this cafe with a very happy face and happy stomach. Im so satisfied with this place. The foods are delicious and the service are tiptop. I like their fast service. Most of the foods that we ordered are very delicious, we love …MoreGoing out from this cafe with a very happy face and happy stomach. Im so satisfied with this place. The foods are delicious and the service are tiptop. I like their fast service. Most of the foods that we ordered are very delicious, we love it. Congratulations to the chef. Definitely will bring my family next time. Their workers are so helpful and very friendly. Thumbs up! Really recommended.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
teo ming yi,"Big breakfast at this busy little cafe along the street of Bangsar Village. Like all standard English breakfast, I find them good but nothing to shout about. Something I wouldn’t expect to write about was the toast! Really nice, perfectly …MoreBig breakfast at this busy little cafe along the street of Bangsar Village. Like all standard English breakfast, I find them good but nothing to shout about. Something I wouldn’t expect to write about was the toast! Really nice, perfectly toasted and drenched in margarine! Had one of the best Ice Latte here as well! And most impressive of all was their subtle effort in protecting the environment! No where in the cafe premise or menu were they trying to claim credits for their environmental friendly efforts but they are the first Cafe I ever encountered that is using paper straws for their ice beverages!! There were also no traces of plastics in all their tablewares! Unlike most cafes that put on a pretentious front on protecting the environment by using even more plastics (strawless cup) or by using “no straws” as an excuse to cut cost (not to mention, those cringeworthy loud announcement to the world, like as if people won’t notice..), this cafe silently doing their tiny part in spite of the potential additional costs to them.P.s. the staff were friendly and extremely attentive as well.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Yong Sheue Er,The service here is so nice. Really enjoyed my breakfast here.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Jessica,Amazing service and really really good food ! The food comes so quickly and the staff are really nice and helpful as well. I had a pink eye and the staff immediately gave me ice to sooth it and they are super kind and polite as well I would …MoreAmazing service and really really good food ! The food comes so quickly and the staff are really nice and helpful as well. I had a pink eye and the staff immediately gave me ice to sooth it and they are super kind and polite as well I would give them 10 stars if I could. Good place to come to in the morning when most of the restaurants aren’t open.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Annie Lim,Food is great! Service is even more awesome! I’ve ordered the wrong type of breakfast and I was so disappointed but the staff was so kind to give me additional mushroom to make it up. Thanks for the great service and maintaining it. I’ve been coming here for years! Will continue to :) free coffee with breakfast for before 9am!,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
anna macky,I took my young daughter there tonight and had a lovely evening! Staff were very attentive and friendly and the food was excellent! Highly recommend the pizza and lemon meringue pie 😀,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Bernard Qkz,Well spent Good food & coffee. If ur a first timer just ask for recommendation.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Surrain Manoharan,A very peaceful ambient environment. Definitely a good place with your Loved Ones. Food is fresh and tasty. Staff’s well trained! A definite yes for the next round.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
annasuha nazron,brownies cake dappio very good combination! super tasty and the staff also nice and friendly his name is elyas   😍,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Desmond Wong,Excellent place to have breakfast or brunch with a group of friends.The cafe is busy on Sunday morning but the queue time is short.  Well organized …MoreExcellent place to have breakfast or brunch with a group of friends.The cafe is busy on Sunday morning but the queue time is short.  Well organized and managed.Lots food to choice from.  The food taste is good as usual.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Lorraine Chow,"Amazing place, great  staff and awesome coffee! They never fail to disappoint  me with their coffee art! 😍","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
SC Chua,"Great breakfast, free coffee for early bird is the big plus. The manager and the staffs are very friendly.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Rahul Dhankani,"Great breakfast menu - lots of options for mains and sides, juices and coffee.The fish and chips was really good. We also had the corn fritters with bacon, mushroom toast and poached eggs. All good.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
h l,It's just okay. Around Jalan Telawi has better choice.,"Rated 3.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
sephiroth9nike,"I came to to antipodean Bangsar today for breakfast with my wife -  I ordered the banana pancakes and to the point , it was made to perfection. The fluff was incredible , the texture was perfect , the honey drizzled with it was absolutely …MoreI came to to antipodean Bangsar today for breakfast with my wife -  I ordered the banana pancakes and to the point , it was made to perfection. The fluff was incredible , the texture was perfect , the honey drizzled with it was absolutely wonderful. The coffee was brewed with excellence too!But for me the service i received was absolute world class treatment . I would like to give a special shout out to Mr Rahmat - whom i enquired was the manager of the establishmentHe gave such immaculate service and recommendations - enquiring on our dishes, quick to the service - and even updating us that the dish required a little more time to be made ( perfection takes time)The high level of warmth persona that Mr Rahmat has and friendly gesture combined with the brilliance of the breakfast meal  wonderful reflection of the finest - that this restaurant has to offerIn an industry with a high turn over , pressure and strong demands from various customers I can truly see the passion and dedication of the job from him. Thank you very much Mr Rahmat - you and the food will truly be the reasons i will be coming back to this wonderful establishment to dine and keep introducing , recommending family and friends to comeThank you once againregardsDr NavaHospital Kuala Lumpur","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Ai Ting,"Nice foods, good environment, and service very good!  Like the waitress very friendly and sweet smiles.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Jojo Music,"The food was absolutely delicious and the service was delightful, it was a pleasure to dine here!","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
SY,"Superb service, food are nice. Great place to have tea time here","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Jong Syan Chan,Great food & ambiance,"Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Abdullah Rasheed Khan,Quality was not too good.Oily breakfast …MoreQuality was not too good.Oily breakfastNot recommended,"Rated 1.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Samantha Tiang,Love the concept and ambiance of the place. Food was alright. Have to say that the food in the Midvalley branch was better but it was still nice nonetheless. The staff were very friendly. I went in knowing the prices so I thought the overall experience and price was alright.,"Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
T,"I edited my review as I used to like this place but my last visit wasn't pleasant at all, I used to have their avocado toast with substituting the pork with mushrooms, and now the lady she insisted she won't do it and asked me to take the …MoreI edited my review as I used to like this place but my last visit wasn't pleasant at all, I used to have their avocado toast with substituting the pork with mushrooms, and now the lady she insisted she won't do it and asked me to take the avocado toast as it is and order an extra plate of mushrooms. You lost a daily customer. Never coming back.","Rated 1.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
yuhyueh chew,Food is awesome and we love it so much here. Will definitely come again.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
TIMOTHY PERERA,Good service with good food . Thank you,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Davindren Tharmalingam,"Best place to have a good meal after a long day at work.FYI, highly recommended the “Mike Moore's Lamb Burger”. It’s truly delicious, full filling and satisfying. …MoreBest place to have a good meal after a long day at work.FYI, highly recommended the “Mike Moore's Lamb Burger”. It’s truly delicious, full filling and satisfying.Also recommend Ms Snow for serving us tonight. She’s very polite, kind and good at what she does.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Lee Lin Jun,"Excellent food, great service and nice ambience.Would come over and over again. Vegetarian options available as well.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Hooi Yin Gun,"The service here is very good, food is nice and ambiance is cozy and comfortable. Brunch here is enjoyable.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Daniel Joshua,Coffee was great and the salmon was just perfect. We love the front of house service. Ambience was pleasant. Keep up the great service!! 👍👍😀,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Leksy ronald Jostein,Highly recommended Place.Food is Amazing and Service is Excellent 👍🏽For sure I’ll be back here ❤️,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Winnie Yip,Good food with great service!,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Reece Witters,"Delightful Kiwi cafe (New Zealand inspired, but with Asian fusion). Lovely service and a VERY large menu. Cute wee area for children to play and stay occupied while the parents dine.","Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
