Restaurant,cleaned_text
Antipodean Cafe,great breakfast service excellent staff super friendly
Antipodean Cafe,nice food good service highly recommended
Antipodean Cafe,good coffee fast paced environmentif quiet coffee breakfast better get early good coffee fast paced environmentif quiet coffee breakfast better get early listen music get busy good selection food portion size large asian standard need season much food allows taste early morning mid afternoon time try quieter relaxed time
Antipodean Cafe,three time year unfortunately every time disappointed way overpriced quality food ingredient bland taste today water smelt tasted dirt exaggerating three time year unfortunately every time disappointed way overpriced quality food ingredient bland taste today water smelt tasted dirt exaggerating want price organic high quality maybe supply organic ingredient kiwi run cafe sad say coming kiwi
Antipodean Cafe,going cafe happy face happy stomach im satisfied place food delicious service tiptop like fast service food ordered delicious love going cafe happy face happy stomach im satisfied place food delicious service tiptop like fast service food ordered delicious love congratulation chef definitely bring family next time worker helpful friendly thumb really recommended
Antipodean Cafe,big breakfast busy little cafe along street bangsar village like standard english breakfast find good nothing shout something expect write toast really nice perfectly big breakfast busy little cafe along street bangsar village like standard english breakfast find good nothing shout something expect write toast really nice perfectly toasted drenched margarine one best ice latte well impressive subtle effort protecting environment cafe premise menu trying claim credit environmental friendly effort first cafe ever encountered using paper straw ice beverage also trace plastic tableware unlike cafe put pretentious front protecting environment using even plastic strawless cup using straw excuse cut cost mention cringeworthy loud announcement world like people notice cafe silently tiny part spite potential additional cost p staff friendly extremely attentive well
Antipodean Cafe,service nice really enjoyed breakfast
Antipodean Cafe,amazing service really really good food food come quickly staff really nice helpful well pink eye staff immediately gave ice sooth super kind polite well would amazing service really really good food food come quickly staff really nice helpful well pink eye staff immediately gave ice sooth super kind polite well would give star could good place come morning restaurant open
Antipodean Cafe,food great service even awesome ordered wrong type breakfast disappointed staff kind give additional mushroom make thanks great service maintaining coming year continue free coffee breakfast
Antipodean Cafe,took young daughter tonight lovely evening staff attentive friendly food excellent highly recommend pizza lemon meringue pie
Antipodean Cafe,well spent good food coffee ur first timer ask recommendation
Antipodean Cafe,peaceful ambient environment definitely good place loved one food fresh tasty staff well trained definite yes next round
Antipodean Cafe,brownie cake dappio good combination super tasty staff also nice friendly name elyas
Antipodean Cafe,excellent place breakfast brunch group friend cafe busy sunday morning queue time short well organized excellent place breakfast brunch group friend cafe busy sunday morning queue time short well organized managed lot food choice food taste good usual
Antipodean Cafe,amazing place great staff awesome coffee never fail disappoint coffee art
Antipodean Cafe,great breakfast free coffee early bird big plus manager staff friendly
Antipodean Cafe,great breakfast menu lot option main side juice coffee fish chip really good also corn fritter bacon mushroom toast poached egg good
Antipodean Cafe,okay around jalan telawi better choice
Antipodean Cafe,came antipodean bangsar today breakfast wife ordered banana pancake point made perfection fluff incredible texture perfect honey drizzled absolutely came antipodean bangsar today breakfast wife ordered banana pancake point made perfection fluff incredible texture perfect honey drizzled absolutely wonderful coffee brewed excellence service received absolute world class treatment would like give special shout mr rahmat enquired manager establishmenthe gave immaculate service recommendation enquiring dish quick service even updating u dish required little time made perfection take time high level warmth persona mr rahmat friendly gesture combined brilliance breakfast meal wonderful reflection finest restaurant offerin industry high turn pressure strong demand various customer truly see passion dedication job thank much mr rahmat food truly reason coming back wonderful establishment dine keep introducing recommending family friend comethank againregardsdr navahospital kuala lumpur
Antipodean Cafe,nice food good environment service good like waitress friendly sweet smile
Antipodean Cafe,food absolutely delicious service delightful pleasure dine
Antipodean Cafe,superb service food nice great place tea time
Antipodean Cafe,great food ambiance
Antipodean Cafe,quality good oily breakfast quality good oily breakfastnot recommended
Antipodean Cafe,love concept ambiance place food alright say food midvalley branch better still nice nonetheless staff friendly went knowing price thought overall experience price alright
Antipodean Cafe,edited review used like place last visit pleasant used avocado toast substituting pork mushroom lady insisted asked take edited review used like place last visit pleasant used avocado toast substituting pork mushroom lady insisted asked take avocado toast order extra plate mushroom lost daily customer never coming back
Antipodean Cafe,food awesome love much definitely come
Antipodean Cafe,good service good food thank
Antipodean Cafe,best place good meal long day work fyi highly recommended mike moore lamb burger truly delicious full filling satisfying best place good meal long day work fyi highly recommended mike moore lamb burger truly delicious full filling satisfying also recommend m snow serving u tonight polite kind good
Antipodean Cafe,excellent food great service nice ambience would come vegetarian option available well
Antipodean Cafe,service good food nice ambiance cozy comfortable brunch enjoyable
Antipodean Cafe,coffee great salmon perfect love front house service ambience pleasant keep great service
Antipodean Cafe,highly recommended place food amazing service excellent sure back
Antipodean Cafe,good food great service
Antipodean Cafe,delightful kiwi cafe new zealand inspired asian fusion lovely service large menu cute wee area child play stay occupied parent dine
Antipodean Cafe,nice place meet friend
Antipodean Cafe,food exceptionally good still good enough whole family enjoy brunch lot beautiful people price steep compared nearby posh mamak amount food service excellent professional waiter ever ready answer every question request
Antipodean Cafe,good service food waiter attitude nice friend stay hour enjoy
Antipodean Cafe,cozy place day breakfast friendly owner go around talk menu wall american breakfast pancake waffle salad soup etc reasonable price given located cozy place day breakfast friendly owner go around talk menu wall american breakfast pancake waffle salad soup etc reasonable price given located bangsar good place chill hangout gossip con small space crowded often queue long time
Antipodean Cafe,came way singapore enjoyed food came huge portion service hospitality amazing thanks attentiveness service
Antipodean Cafe,food delicious service really good definitely coming back
Antipodean Cafe,comfortable space staff well trained service excellent lot choice breakfast lunch coffee food coffee taste really nice tried bagel bagel hard nice small playing space kid
Antipodean Cafe,food eggcellent service provided superb place really suitable gathering cozy environment good food top service definitely come back
Antipodean Cafe,went bangsar branch lunch wonderful food excellent service would highly recommend
Antipodean Cafe,planning visiting another restaurant since packed came loved ambience hospitality sweet paprika chicken chickpea chicken portion rather small nevertheless taste topnotch
Antipodean Cafe,good service banana bacon french toast delicious
Antipodean Cafe,good food great service staff kind accommodating
Antipodean Cafe,myr opted big breakfast includes chicken sausage bacon scrambled egg hash brown handful sauteed mushroom bit lettuce side topped balsamic vinegar gluten free bread since intolerant busy weekend get pretty smokey inside great western brekkie option
Antipodean Cafe,good service staff friendly food delicious
Antipodean Cafe,service really good food amazing
Antipodean Cafe,back long time time impressed quality food able churn peak time coffee point big breakfast came alright albeit think scrambled egg could salt back long time time impressed quality food able churn peak time coffee point big breakfast came alright albeit think scrambled egg could salt argue u add later staff whizzing around like clockwork discipline japanese mentality
